title,movie_id,avg_user_rating,popularity,positive_count,neutral_count,negative_count,total_reviews,genre_utama,ringkasan_film,positive_percentage,neutral_percentage,negative_percentage,rating_norm,popularity_norm,sentiment_norm,final_score
Spirited Away,129.0,9.55,41.048867,20,0,0,20,Fantasy,Seorang gadis berusia sepuluh tahun yang mengembara jauh dari orang tuanya di sepanjang jalan yang mengarah ke dunia yang dikuasai oleh binatang aneh dan tidak biasa seperti monster.Orang tuanya telah diubah menjadi babi bersama dengan orang lain di dalam pemandian yang penuh dengan makhluk-makhluk ini.Akankah dia melihat dunia seperti dulu?,100.0,0.0,0.0,1.0,0.07497670205911872,1.0,0.8149953404118238
Leon: The Professional,101.0,8.95,20.477329,20,0,0,20,Thriller,"Leon, pembunuh bayaran teratas di New York, telah mendapatkan reputasi sebagai ""pembersih"" yang efektif.Namun ketika tetangga sebelahnya dihabisi oleh agen DEA, dia terpaksa menjadi penjaga Mathilda yang berusia 12 tahun.Tak lama kemudian, pikiran Mathilda beralih ke balas dendam, dan dia mempertimbangkan untuk mengikuti jejak Leon.",100.0,0.0,0.0,0.8603568657874319,0.03740231357419808,1.0,0.7376588956085556
Life Is Beautiful,637.0,8.833333333333334,39.394969999999994,30,0,0,30,Comedy,"Sebuah kisah menyentuh tentang seorang penjual buku Italia keturunan Yahudi yang hidup dalam dongeng kecilnya sendiri.Kehidupan kreatif dan bahagianya tiba-tiba terhenti ketika seluruh keluarganya dideportasi ke kamp konsentrasi selama Perang Dunia II.Saat dikurung, dia mencoba meyakinkan putranya bahwa semua ini hanyalah permainan.",100.0,0.0,0.0,0.8332040341349884,0.0719558210539141,1.0,0.7309931812782771
Schindler's List,424.0,9.052173913043477,41.725123,21,1,1,23,Drama,Kisah nyata tentang bagaimana pengusaha Oskar Schindler menyelamatkan lebih dari seribu nyawa orang Yahudi dari Nazi saat mereka bekerja sebagai budak di pabriknya selama Perang Dunia II.,91.3,4.35,4.35,0.8841366748743544,0.07621189923588104,0.9043009569904302,0.7286010043814825
Terminator 2: Judgment Day,280.0,9.1,22.661695000000005,21,1,1,23,Action,"Nearly 10 years have passed since Sarah Connor was targeted for termination by a cyborg from the future. Now her son, John, the future leader of the resistance, is the target for a newer, more deadly terminator. Once again, the resistance has managed to send a protector back to attempt to save John and his mother Sarah.",91.3,4.35,4.35,0.8952676493405742,0.04139210843918349,0.9043009569904302,0.7272025334552528
Alien,348.0,8.991304347826087,23.37742,21,1,1,23,Horror,"Saat kembali ke bumi, pesawat ruang angkasa komersial Nostromo mencegat sinyal bahaya dari planet yang jauh.Ketika tim beranggotakan tiga orang menemukan sebuah ruangan berisi ribuan telur di planet ini, makhluk di dalam salah satu telur tersebut menyerang seorang penjelajah.Seluruh kru tidak menyadari mimpi buruk yang akan menimpa mereka ketika parasit asing yang ditanam di dalam inangnya yang malang lahir.",91.3,4.35,4.35,0.8699699800991669,0.04269939665450165,0.9043009569904302,0.7148151564776127
The Truman Show,37165.0,8.91304347826087,13.155901000000002,21,1,1,23,Comedy,"Truman Burbank is the star of ""The Truman Show"", a 24-hour-a-day ""reality"" TV show that broadcasts every aspect of his life -- live and in color -- without his knowledge. His entire life has been an unending soap opera for consumption by the rest of the world. And everyone he knows -- including his wife and his best friend -- is really an actor, paid to be part of his life.",91.3,4.35,4.35,0.8517556582453536,0.024029556518484717,0.9043009569904302,0.7019740275235027
Whiplash,244786.0,8.708695652173914,64.29999,21,1,1,23,Drama,"Di bawah arahan seorang instruktur yang kejam, seorang drummer muda berbakat mulai mengejar kesempurnaan dengan cara apa pun, bahkan kemanusiaannya.",91.3,4.35,4.35,0.804196040071508,0.11744541433102923,0.9043009569904302,0.6968773899990889
Toy Story 3,10193.0,8.834782608695651,16.96647,21,1,1,23,Animation,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",91.3,4.35,4.35,0.8335413363915403,0.030989648659120753,0.9043009569904302,0.6942588850247233
The Shining,694.0,8.778260869565218,19.611589,21,1,1,23,Horror,"Jack Torrance menerima pekerjaan sementara di Overlook Hotel, di mana dia, bersama istrinya Wendy dan putra mereka Danny, harus hidup terisolasi dari dunia luar selama musim dingin.Namun mereka tidak siap menghadapi kegilaan yang mengintai di dalamnya.",91.3,4.35,4.35,0.8203865483860087,0.03582101950241136,0.9043009569904302,0.6886477651906155
